PST045214;PST040210;PST120214;POP010210;AGE135214;AGE295214;AGE775214;SEX255214;RHI125214;RHI225214;RHI325214;RHI425214;RHI525214;RHI625214;RHI725214;RHI825214;POP715213;POP645213;POP815213;EDU635213;EDU685213;VET605213;LFE305213;HSG010214;HSG445213;HSG096213;HSG495213;HSD410213;HSD310213;INC910213;INC110213;PVY020213;BZA010213;BZA110213;BZA115213;NES010213;SBO001207;SBO315207;SBO115207;SBO215207;SBO515207;SBO415207;SBO015207;MAN450207;WTN220207;RTN130207;RTN131207;AFN120207;BPS030214;LND110210;POP060210;pct_dem_16;pct_gop_16;pct_dem_12;pct_gop_12
26887;27457;-2.10000000000;27457;5.70000000000;21.20000000000;16.50000000000;46.60000000000;50.20000000000;47.60000000000;0.60000000000;0.50000000000;0.20000000000;0.90000000000;4.50000000000;46.60000000000;84.80000000000;2.90000000000;5.00000000000;73.70000000000;13.40000000000;2120;24.60000000000;11799;67.70000000000;10.60000000000;89200;9200;2.66000000000;16829;32911;26.70000000000;464;6611;-5.60000000000;1546;1667;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;27.00000000000;0;0;188337;6334;0;8;884.88000000000;31.00000000000;0.46660250200;0.52271414800;0.51252290800;0.48337551300
13323;13858;-3.90000000000;13859;4.90000000000;20.60000000000;20.80000000000;52.50000000000;56.60000000000;42.40000000000;0.20000000000;0.30000000000;0.00000000000;0.50000000000;0.80000000000;56.10000000000;91.40000000000;0.30000000000;1.30000000000;75.20000000000;11.80000000000;938;33.40000000000;7231;83.70000000000;4.00000000000;58200;5518;2.45000000000;20323;33941;21.50000000000;255;2900;1.40000000000;809;1102;26.20000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;44.10000000000;0;52904;84633;5969;11345;0;913.50000000000;15.20000000000;0.42776554800;0.56439185500;0.47520401800;0.52102950400
12670;13228;-4.20000000000;13228;5.50000000000;21.40000000000;20.40000000000;51.90000000000;52.10000000000;46.20000000000;0.40000000000;0.10000000000;0.00000000000;1.20000000000;1.80000000000;51.10000000000;96.90000000000;0.60000000000;2.20000000000;77.30000000000;8.80000000000;1101;27.20000000000;7055;79.10000000000;7.20000000000;69600;4994;2.61000000000;15605;24658;32.70000000000;194;2197;-1.50000000000;756;980;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;23.00000000000;183544;76736;71232;5430;8667;3;850.16000000000;15.60000000000;0.46905089400;0.52162616500;0.50634535900;0.48966205600
80977;79296;2.10000000000;79303;5.90000000000;23.00000000000;14.00000000000;51.50000000000;76.00000000000;21.20000000000;0.40000000000;0.70000000000;0.10000000000;1.60000000000;2.70000000000;73.70000000000;85.40000000000;2.10000000000;3.60000000000;86.60000000000;21.00000000000;8364;28.20000000000;33326;75.50000000000;8.10000000000;144600;28324;2.62000000000;23856;54766;13.40000000000;1135;14056;-2.30000000000;4850;6513;9.10000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;28.30000000000;766344;104885;618313;7982;47884;259;618.49000000000;128.20000000000;0.22858691200;0.74838097800;0.25225733600;0.73992663700
15184;15760;-3.70000000000;15760;6.20000000000;23.30000000000;17.30000000000;52.80000000000;40.80000000000;58.10000000000;0.20000000000;0.30000000000;0.00000000000;0.60000000000;1.30000000000;40.00000000000;90.60000000000;1.20000000000;2.70000000000;77.40000000000;12.80000000000;995;27.10000000000;7639;78.00000000000;6.10000000000;79900;5969;2.56000000000;18812;30051;26.60000000000;195;1966;0.20000000000;762;882;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;86735;4794;3136;8;643.94000000000;24.50000000000;0.59575530600;0.39600499400;0.62598516500;0.37146499800
33389;32899;1.50000000000;32899;5.70000000000;19.40000000000;14.10000000000;51.90000000000;58.50000000000;36.90000000000;0.70000000000;2.20000000000;0.10000000000;1.60000000000;2.20000000000;57.10000000000;79.30000000000;4.00000000000;5.80000000000;81.00000000000;23.00000000000;2516;18.70000000000;15807;57.80000000000;18.50000000000;101000;12959;2.40000000000;19715;33090;27.60000000000;628;11009;1.40000000000;1970;2527;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;367926;12189;45692;44;672.09000000000;48.90000000000;0.38687140100;0.58971209200;0.42747385600;0.56477200000
59608;52949;12.60000000000;52947;7.60000000000;25.30000000000;12.50000000000;51.30000000000;53.10000000000;42.90000000000;0.60000000000;0.80000000000;0.20000000000;2.40000000000;5.00000000000;49.50000000000;81.70000000000;2.20000000000;5.00000000000;80.40000000000;16.00000000000;5977;23.60000000000;26787;61.30000000000;19.80000000000;104400;21142;2.60000000000;19678;36143;22.00000000000;783;10489;-1.90000000000;3523;3823;33.90000000000;0.00000000000;0.00000000000;0.00000000000;1.00000000000;32.40000000000;0;0;428236;8526;56392;244;641.14000000000;82.60000000000;0.50047031800;0.48129180600;0.55614434800;0.43855651500
206655;195218;5.90000000000;195085;6.00000000000;24.40000000000;13.00000000000;51.20000000000;84.00000000000;12.10000000000;0.40000000000;2.20000000000;0.00000000000;1.30000000000;6.00000000000;78.50000000000;86.60000000000;6.00000000000;8.30000000000;91.20000000000;40.30000000000;13991;29.00000000000;83498;79.00000000000;12.10000000000;193000;74144;2.64000000000;33313;68770;7.90000000000;4845;76137;2.10000000000;15634;18393;5.70000000000;0.60000000000;0.00000000000;0.00000000000;2.00000000000;30.50000000000;1723017;4385596;2520488;13737;301893;896;784.93000000000;248.50000000000;0.23110031400;0.73427546200;0.21630298000;0.77266712900
203361;200186;1.60000000000;200186;4.60000000000;18.70000000000;26.90000000000;49.70000000000;92.00000000000;1.30000000000;2.90000000000;1.20000000000;0.20000000000;2.30000000000;15.80000000000;78.00000000000;79.00000000000;6.90000000000;10.90000000000;83.80000000000;11.90000000000;26193;18.90000000000;112313;69.40000000000;10.20000000000;133900;80230;2.43000000000;20833;39200;19.40000000000;3603;39476;0.10000000000;10217;14568;1.10000000000;2.60000000000;1.60000000000;0.00000000000;4.60000000000;25.90000000000;1349965;423845;2837691;14489;274299;535;13311.08000000000;15.00000000000;0.22220275200;0.73671299000;0.27785106700;0.70421083000
11148;11508;-3.10000000000;11508;6.90000000000;23.40000000000;18.30000000000;51.10000000000;68.30000000000;27.60000000000;1.90000000000;0.50000000000;0.00000000000;1.60000000000;14.30000000000;56.30000000000;89.40000000000;6.70000000000;10.20000000000;76.00000000000;10.80000000000;765;20.10000000000;5820;68.80000000000;11.30000000000;62900;4789;2.32000000000;19386;30409;31.30000000000;250;2621;1.50000000000;525;640;0.00000000000;0.00000000000;0.00000000000;0.00000000000;4.20000000000;0.00000000000;176955;42794;71522;5978;6240;1;649.23000000000;17.70000000000;0.36411390700;0.59800940000;0.39818381900;0.58282883900
